"State or territory - ASGS 2021","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations",
"Age of person in single years",
"19",40.5,34.55,"*",43.9,34.44,"*",31.2,45.87,"*",16.3,34.73,"*",18.5,38.01,"*",3.1,np,"**",0.6,np,"**",2.5,46.18,"*",0,0.00,,0,0.00,,64.6,32.76,"*",26.8,46.78,"*",18.8,np,"**",21.4,28.49,"*",11.8,49.98,"*",7.3,32.80,"*",1.5,np,"**",3,33.00,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,105.7,21.11,,51.6,38.61,"*",67.7,23.72,,32.2,21.95,,24.2,32.37,"*",10.4,27.72,"*",1.6,np,"**",5.1,25.94,"*",0,0.00,,0,0.00,,
"20",12.8,np,"**",53.3,33.12,"*",24.9,37.39,"*",5.9,np,"**",0,0.00,,3.1,48.56,"*",1.4,46.58,"*",2.6,49.34,"*",0,0.00,,0,0.00,,49,35.39,"*",62.7,33.11,"*",29.9,36.91,"*",6.2,np,"**",18.4,np,"**",2.2,np,"**",1,np,"**",2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,68.1,29.74,"*",81.5,29.37,"*",59.2,22.14,,14,43.73,"*",31.9,27.82,"*",3.9,np,"**",3.1,40.09,"*",7.4,27.27,"*",0,0.00,,0,0.00,,
"21",56,36.28,"*",0,0.00,,29,np,"**",15.2,48.97,"*",11,np,"**",3.6,np,"**",0,0.00,,3.7,35.11,"*",0,0.00,,0,0.00,,31.2,38.46,"*",37.4,35.65,"*",31.4,37.01,"*",9.8,np,"**",27.8,30.10,"*",1.6,np,"**",0,0.00,,3.9,35.43,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,89.3,24.78,,22.1,np,"**",67.2,27.93,"*",28,28.19,"*",37.3,24.94,,7.4,37.97,"*",0.6,np,"**",6.8,26.00,"*",0,0.00,,0,0.00,,
"22",39.2,39.93,"*",60.5,28.09,"*",14,np,"**",7.9,np,"**",26.9,26.68,"*",1.6,np,"**",0.8,np,"**",2.9,47.71,"*",0,0.00,,0,0.00,,62.8,25.84,"*",52.6,31.33,"*",17.7,np,"**",9.2,40.59,"*",6.5,np,"**",3.6,40.71,"*",0.7,np,"**",1.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,105.3,20.19,,103.7,21.75,,50.4,29.79,"*",18.8,31.57,"*",23.7,34.96,"*",7.7,29.86,"*",1.3,np,"**",5.4,31.63,"*",0,0.00,,0,0.00,,
"23",55.9,30.03,"*",51.2,47.37,"*",19.6,np,"**",10.3,np,"**",10.3,48.38,"*",0,0.00,,2.1,41.57,"*",4.7,29.49,"*",0,0.00,,0,0.00,,44.2,30.58,"*",28.1,np,"**",30.4,36.18,"*",10.7,np,"**",8.3,np,"**",0,0.00,,0.9,np,"**",3.6,42.21,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,87.1,24.76,,103.7,31.20,"*",65.1,21.50,,23.4,32.02,"*",26.2,32.21,"*",2.5,48.02,"*",3.3,29.59,"*",7,27.43,"*",0,0.00,,0,0.00,,
"24",36.8,29.50,"*",31,42.29,"*",21.4,47.74,"*",6.5,np,"**",14.1,43.98,"*",3,np,"**",1.8,38.03,"*",2.1,np,"**",0,0.00,,0,0.00,,18.7,np,"**",19.3,np,"**",45.5,29.55,"*",16.2,34.44,"*",14.8,44.08,"*",1.3,np,"**",0,0.00,,1.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,62.2,21.47,,57.9,31.43,"*",65.1,24.17,,21.6,32.06,"*",32.5,27.03,"*",5.4,38.24,"*",2,45.74,"*",4,36.84,"*",0,0.00,,0,0.00,,
"25",61.2,27.89,"*",20.3,np,"**",28.2,np,"**",12.7,44.62,"*",13.5,40.93,"*",7.5,29.81,"*",2.7,34.94,"*",0.7,np,"**",0,0.00,,0,0.00,,37.2,39.36,"*",18.4,np,"**",22.7,np,"**",8.7,45.15,"*",13.6,32.88,"*",1.5,np,"**",1.3,np,"**",2.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,111.3,17.87,,45.2,37.12,"*",54.3,33.58,"*",23,28.59,"*",21.1,28.69,"*",7.3,36.16,"*",4.2,27.61,"*",3.7,46.31,"*",0,0.00,,0,0.00,,
"26",52.2,27.57,"*",27.2,37.77,"*",16.2,np,"**",14.5,41.71,"*",11.1,34.66,"*",5,34.29,"*",0,0.00,,1.9,45.92,"*",0,0.00,,0,0.00,,40.9,28.12,"*",29.6,np,"**",31.3,43.39,"*",19.4,32.86,"*",10.6,34.46,"*",5.1,45.14,"*",1,np,"**",3.2,37.44,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,96.8,17.80,,61,28.52,"*",55.6,31.23,"*",29.9,25.90,"*",21.8,22.70,,10.2,25.04,"*",1.5,41.16,"*",4.7,27.86,"*",0,0.00,,0,0.00,,
"27",32.2,39.45,"*",58,26.13,"*",27,37.98,"*",14.9,36.96,"*",16.6,39.03,"*",1.6,np,"**",1.9,34.41,"*",2,np,"**",0,0.00,,0,0.00,,59.7,28.70,"*",43.8,44.84,"*",44.3,31.50,"*",10.1,42.72,"*",16.7,34.30,"*",7.3,27.98,"*",1.6,42.41,"*",6.1,28.57,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,99.3,19.24,,97.4,25.03,"*",65.7,24.36,,19.2,32.99,"*",36.1,21.76,,5.4,38.01,"*",3.7,21.20,,9.5,20.16,,0,0.00,,0,0.00,,
"28",72.8,20.47,,35.8,40.73,"*",35.6,32.43,"*",9.9,44.25,"*",12.4,np,"**",5.5,30.69,"*",1.6,45.98,"*",3.4,38.35,"*",0,0.00,,0,0.00,,53.1,24.99,,36.6,41.09,"*",48.1,23.61,,7.7,np,"**",10.6,45.76,"*",1.8,np,"**",1.5,36.72,"*",6,28.12,"*",0,0.00,,0,0.00,,0,0.00,,19.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,114.8,16.91,,100,19.84,,75.3,20.17,,16.1,34.09,"*",29.9,27.33,"*",6.1,31.21,"*",2.7,33.96,"*",9.9,20.28,,0,0.00,,0,0.00,,
"29",68.7,25.88,"*",41.2,47.19,"*",39.6,35.36,"*",16.5,42.00,"*",26.9,32.85,"*",3.8,38.56,"*",1.4,np,"**",2,np,"**",0,0.00,,0,0.00,,47.7,32.00,"*",52.2,29.66,"*",21.5,49.25,"*",10.3,41.24,"*",24.7,25.87,"*",1.7,np,"**",1.9,32.33,"*",3.5,43.25,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,116.6,20.12,,96.8,23.87,,66.2,23.89,,30.1,25.65,"*",47.3,23.10,,4.5,36.87,"*",2.6,30.45,"*",5.4,37.65,"*",0,0.00,,0,0.00,,
"30",74.6,20.04,,53.9,35.98,"*",46,29.10,"*",18,27.67,"*",25.3,33.60,"*",5.5,28.64,"*",2.5,32.43,"*",2.5,43.67,"*",0,0.00,,0,0.00,,66.7,22.50,,19.2,39.00,"*",47.5,24.78,,12.6,44.20,"*",24.8,28.25,"*",2.9,np,"**",1.3,37.59,"*",5.6,28.56,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,126,18.56,,83.8,23.20,,87.9,20.72,,27,26.62,"*",51.3,22.95,,6.9,33.57,"*",2.9,29.76,"*",9.6,18.78,,0,0.00,,0,0.00,,
"31",44.9,26.81,"*",60.2,26.77,"*",13,np,"**",9.1,np,"**",12.5,45.93,"*",3.3,44.81,"*",0.7,np,"**",4.3,26.66,"*",0,0.00,,0,0.00,,70.8,22.08,,87.4,21.63,,23.4,47.53,"*",12.7,47.53,"*",21.3,29.85,"*",3.9,40.17,"*",2.2,36.06,"*",3,38.05,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,125.4,15.75,,157.4,15.26,,45.4,30.43,"*",30.1,23.68,,34.8,23.13,,6,32.73,"*",2.5,37.93,"*",5.7,27.75,"*",0,0.00,,0,0.00,,
