"Body mass index - measured - categories (whole years scale for all ages)","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations",
"Age of person in single years",
"21",0,0.00,,0,0.00,,11.9,np,"**",14.1,np,"**",65.4,29.32,"*",50.1,32.04,"*",8.1,np,"**",5.4,np,"**",0,0.00,,0,0.00,,6.3,np,"**",6,np,"**",10.7,np,"**",35.7,35.66,"*",26.2,41.83,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.1,np,"**",6.3,np,"**",17.9,43.59,"*",38.3,30.80,"*",100.5,24.88,,68.2,27.69,"*",14.4,np,"**",3.3,np,"**",0,0.00,,
"22",0,0.00,,0,0.00,,0,0.00,,6.1,np,"**",48.1,27.28,"*",64.8,23.26,,26,np,"**",4.5,np,"**",0,0.00,,0,0.00,,9.1,np,"**",0,0.00,,23.1,np,"**",62.8,26.91,"*",27,45.47,"*",32.5,32.97,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,9.1,np,"**",0,0.00,,36.5,39.37,"*",99.4,20.12,,96.7,21.81,,51.2,29.48,"*",4.5,np,"**",0,0.00,,
"23",0,0.00,,0,0.00,,3.6,np,"**",8.2,np,"**",73.2,22.36,,73.6,33.48,"*",7.3,39.67,"*",1.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,41.9,34.09,"*",39.8,27.44,"*",29.2,np,"**",15.3,np,"**",2.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.5,np,"**",35,43.58,"*",99.8,19.90,,102.7,31.38,"*",23.4,31.37,"*",3.5,np,"**",0,0.00,,
"24",0,0.00,,0,0.00,,0,0.00,,6.4,np,"**",31.7,38.89,"*",44.6,21.82,,11.1,np,"**",5.5,48.92,"*",14.6,np,"**",0,0.00,,0,0.00,,0,0.00,,9.7,np,"**",54.9,29.25,"*",40.8,31.39,"*",11.3,np,"**",8.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,24,36.76,"*",94.7,20.10,,77.4,18.98,,31.5,31.99,"*",8.4,np,"**",14.6,np,"**",
"25",0,0.00,,0,0.00,,0,0.00,,12,np,"**",44.2,40.96,"*",63,22.35,,35.4,32.00,"*",0,0.00,,5.3,np,"**",0,0.00,,0,0.00,,0,0.00,,5.2,np,"**",32.1,30.71,"*",40.9,30.40,"*",14.3,42.37,"*",25.6,40.00,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,13.1,np,"**",76.4,25.64,"*",95.9,18.63,,44,27.74,"*",37.8,34.72,"*",7.2,np,"**",
"26",0,0.00,,0,0.00,,0,0.00,,4.8,np,"**",50,25.05,"*",47.7,22.84,,11.2,np,"**",14.4,np,"**",0,0.00,,0,0.00,,0,0.00,,3.7,np,"**",13.7,np,"**",58.3,22.14,,20,32.36,"*",35.3,37.51,"*",20,40.67,"*",5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.7,np,"**",20.8,38.79,"*",114,17.13,,68,19.06,,47.9,30.34,"*",32,35.04,"*",7.9,np,"**",
"27",0,0.00,,0,0.00,,0,0.00,,5.2,np,"**",63.6,27.60,"*",40.8,26.02,"*",36.3,29.04,"*",6.8,np,"**",0,0.00,,4.2,np,"**",0,0.00,,0,0.00,,6.6,np,"**",62.6,25.63,"*",53.2,33.02,"*",23.2,35.74,"*",5.9,np,"**",20.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,4.2,np,"**",0,0.00,,0,0.00,,20.2,38.53,"*",116.8,19.82,,93.3,21.13,,57.6,21.70,,19.3,31.76,"*",20.2,np,"**",
"28",0,0.00,,0,0.00,,0,0.00,,7.5,np,"**",43.9,29.03,"*",68.5,19.32,,23.6,44.19,"*",13,49.87,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.3,np,"**",77.9,22.88,,11,44.58,"*",26.7,34.93,"*",7.9,np,"**",4.4,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,8.7,np,"**",138,16.90,,74.2,18.27,,55.2,25.04,"*",14.2,np,"**",9.1,np,"**",
"29",0,0.00,,0,0.00,,0,0.00,,4.3,np,"**",69.7,23.62,,61.1,27.12,"*",38.3,46.94,"*",14.8,np,"**",11.2,49.07,"*",0,0.00,,0,0.00,,3.6,np,"**",10.6,np,"**",56.7,21.54,,38,33.41,"*",23.7,35.06,"*",12,np,"**",15.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.6,np,"**",8.2,np,"**",126.6,14.95,,107.4,18.94,,71.8,25.81,"*",24.9,39.87,"*",21.6,np,"**",
"30",0,0.00,,0,0.00,,0,0.00,,0,0.00,,35.5,26.36,"*",84.8,23.55,,48.3,26.84,"*",22.7,42.13,"*",2.9,49.26,"*",0,0.00,,0,0.00,,0,0.00,,3.4,np,"**",61.3,24.48,,32,34.02,"*",25.9,39.14,"*",10.5,np,"**",16.4,40.48,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,14,np,"**",13.2,np,"**",91.8,18.93,,125.4,19.74,,81.4,19.81,,38,29.05,"*",16.3,39.39,"*",
