"Body mass index - measured - categories (whole years scale for all ages)","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations",
"Age of person in single years",
"72",0,0.00,,0,0.00,,0,0.00,,0,0.00,,11,np,"**",48.7,19.13,,26.9,27.49,"*",4,np,"**",2.3,np,"**",0,0.00,,0,0.00,,0,0.00,,2.4,np,"**",18.2,26.65,"*",39.1,17.83,,25,23.44,,8.7,np,"**",9.2,47.33,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.4,np,"**",31.8,24.68,,86.8,13.54,,51.9,17.23,,16.2,35.85,"*",10.9,41.07,"*",
"73",0,0.00,,0,0.00,,0,0.00,,0,0.00,,35.5,32.37,"*",51.4,21.37,,22.6,25.49,"*",3.8,np,"**",3.5,np,"**",2.4,np,"**",0,0.00,,0,0.00,,8,np,"**",16.7,40.79,"*",43.6,24.84,,24.7,31.48,"*",7.1,41.90,"*",5.7,46.08,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.4,np,"**",0,0.00,,0,0.00,,8,np,"**",49.2,29.58,"*",92.6,16.64,,42.5,22.52,,12.4,31.67,"*",9.1,35.12,"*",
"74",0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.4,np,"**",52.6,19.79,,36.6,25.85,"*",5.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.3,np,"**",25,25.00,"*",43.5,18.94,,9.7,40.06,"*",6,np,"**",12,36.94,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.3,np,"**",33.7,21.19,,87.9,14.72,,50.8,19.82,,7.4,np,"**",7.7,np,"**",
"75",0,0.00,,0,0.00,,0,0.00,,0,0.00,,20.8,37.98,"*",34.6,22.95,,20.4,29.32,"*",8.7,np,"**",7.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,24.4,27.65,"*",44.8,20.96,,19.3,29.93,"*",4.2,np,"**",5.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,42.9,22.35,,77.8,15.33,,45.1,18.00,,16.4,37.33,"*",15.6,43.65,"*",
"76",0,0.00,,0,0.00,,0,0.00,,0,0.00,,19.4,32.66,"*",32.7,24.74,,29.2,29.58,"*",6.6,np,"**",4.8,np,"**",0,0.00,,0,0.00,,0,0.00,,9.8,np,"**",25.4,27.27,"*",21.6,25.30,"*",20,30.18,"*",5.6,np,"**",2.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,9.2,np,"**",44.7,21.46,,55.5,17.25,,51,18.51,,8.9,np,"**",3.3,np,"**",
"77",0,0.00,,0,0.00,,0,0.00,,0,0.00,,12.1,np,"**",31.2,27.27,"*",11.2,31.47,"*",9.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.9,np,"**",20.5,31.37,"*",38.3,26.28,"*",18.5,29.68,"*",6.2,np,"**",4.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0.8,np,"**",5.9,np,"**",36.9,24.66,,74.1,17.63,,27.2,23.62,,21.1,30.54,"*",4,np,"**",
"78",0,0.00,,0,0.00,,0,0.00,,0,0.00,,12.9,np,"**",22.5,29.33,"*",38,21.73,,11.2,38.15,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,12.3,44.22,"*",31.9,28.37,"*",22.8,25.84,"*",5.7,np,"**",7.6,36.97,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,30.1,30.31,"*",57.3,18.54,,50.5,21.58,,13.6,37.54,"*",6.2,45.62,"*",
"79",0,0.00,,0,0.00,,0,0.00,,0,0.00,,17,36.09,"*",20.3,42.48,"*",17.9,30.23,"*",4.3,np,"**",1.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,15.3,32.95,"*",20.6,30.03,"*",30.6,39.25,"*",10.8,34.09,"*",4.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.8,np,"**",27,26.16,"*",46,22.55,,42.8,30.15,"*",18.4,34.03,"*",6.8,np,"**",
"80",0,0.00,,0,0.00,,0,0.00,,0,0.00,,14.6,39.00,"*",27.8,38.25,"*",24.1,31.62,"*",1.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.9,np,"**",22.8,29.67,"*",16.9,38.97,"*",11.6,35.18,"*",5,39.66,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.9,np,"**",34,24.91,,44.5,27.68,"*",29.7,30.14,"*",6.7,31.90,"*",0,0.00,,
"81",0,0.00,,0,0.00,,0,0.00,,7.3,np,"**",17.7,39.15,"*",17.5,46.78,"*",17.6,38.48,"*",0,0.00,,4.3,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,13,47.63,"*",31.6,41.62,"*",5.6,np,"**",5.1,np,"**",0.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.3,np,"**",41.8,22.44,,52.4,29.98,"*",20,35.45,"*",4.9,np,"**",8.3,49.80,"*",
"82",0,0.00,,0,0.00,,0,0.00,,0,0.00,,13.2,42.82,"*",20.5,30.77,"*",13.4,39.26,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.9,np,"**",5.3,np,"**",6.4,np,"**",8.2,np,"**",4.2,np,"**",4.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.9,np,"**",16.5,36.60,"*",32,23.07,,16.2,39.40,"*",8.7,np,"**",3.5,np,"**",
"83",0,0.00,,0,0.00,,0,0.00,,0,0.00,,8.9,37.78,"*",20.7,29.07,"*",15.5,40.49,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,14.1,42.57,"*",18.4,30.90,"*",7,np,"**",1.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,18.1,35.90,"*",40.2,17.66,,24.2,30.75,"*",1.8,np,"**",8,np,"**",
"84",0,0.00,,0,0.00,,0,0.00,,0,0.00,,8.4,48.09,"*",11.7,np,"**",3.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,11.6,np,"**",10.4,30.18,"*",11.4,48.26,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,25.4,29.62,"*",25.6,31.06,"*",15.2,39.32,"*",0,0.00,,0,0.00,,
"85",0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.9,np,"**",15.6,39.05,"*",3.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.6,np,"**",0,0.00,,12.3,38.36,"*",13.1,np,"**",3.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.4,np,"**",0,0.00,,22.1,25.81,"*",32,29.01,"*",11.8,33.50,"*",0,0.00,,3.2,np,"**",
"86",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,7.8,35.36,"*",9,45.61,"*",3.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.5,36.22,"*",10.2,np,"**",10,np,"**",4.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,8,47.10,"*",17,48.23,"*",17.9,34.29,"*",9.7,42.16,"*",0,0.00,,
"87",0,0.00,,0,0.00,,0,0.00,,0,0.00,,11.3,41.79,"*",7.8,np,"**",2.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.7,np,"**",5.2,np,"**",2.8,np,"**",1.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,15.6,33.55,"*",18.4,30.64,"*",6.5,47.43,"*",1.8,np,"**",0,0.00,,
"88",0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.7,np,"**",8.6,np,"**",3.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5,np,"**",4.8,np,"**",9.2,45.78,"*",4.2,np,"**",8.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5,np,"**",9.2,39.06,"*",13.5,44.52,"*",9.3,36.50,"*",8.9,np,"**",0,0.00,,
"89",0,0.00,,0,0.00,,1.3,np,"**",0,0.00,,7.9,45.16,"*",7.1,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.6,np,"**",19,32.60,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.3,np,"**",0,0.00,,10.3,39.82,"*",23.1,36.16,"*",3.2,np,"**",0,0.00,,0,0.00,,
"90",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0.7,np,"**",3.4,np,"**",0.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.7,np,"**",8.6,41.41,"*",1.5,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.7,np,"**",9.6,35.96,"*",3.5,np,"**",0.9,np,"**",1.8,np,"**",0,0.00,,
"91",0,0.00,,0,0.00,,0,0.00,,0,0.00,,10.7,np,"**",1.2,np,"**",6.2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.8,49.78,"*",1.4,np,"**",2.8,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,11.5,np,"**",1.3,np,"**",3.9,np,"**",0,0.00,,0,0.00,,
"92",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,13.5,37.34,"*",2.6,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,9.1,np,"**",3.2,np,"**",0,0.00,,0,0.00,,0,0.00,,
"93",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,5.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.4,np,"**",4.6,47.68,"*",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.3,40.46,"*",4.3,np,"**",0,0.00,,0,0.00,,0,0.00,,
"94",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.1,np,"**",5.7,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.1,np,"**",5.7,np,"**",0,0.00,,0,0.00,,0,0.00,,
"95",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,1.2,np,"**",0,0.00,,0,0.00,,0,0.00,,
"96",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,3.8,np,"**",0,0.00,,2.7,np,"**",0,0.00,,0,0.00,,
"97",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.2,np,"**",1.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,6.2,np,"**",1.9,np,"**",0,0.00,,0,0.00,,0,0.00,,
"98",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"99",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,2.9,np,"**",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"Total",10.5,47.00,"*",7.1,np,"**",79.2,19.44,,273,9.45,,2208,3.13,,3574.9,2.43,,1948.1,3.64,,747.9,5.87,,365.4,8.72,,15.1,37.85,"*",56.6,27.24,"*",164,12.73,,512.9,8.45,,2990.9,2.24,,2890.3,2.79,,1671.6,3.50,,771,4.94,,520.7,6.86,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,19.3,36.33,"*",70.5,26.35,"*",238,11.95,,791.1,6.18,,5198.5,1.60,,6465.3,1.62,,3621,2.48,,1514.6,3.94,,888.9,5.89,,

np RSE data is concealed

"Data source: National Health Survey, 2022, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals."
"INFO","Continuous variables in this table have been randomly adjusted to avoid the release of confidential data."


Symbol,Description
"#","(000's)"
"**","Estimate has a relative standard error greater than 50% and is considered too unreliable for general use"
"*","Estimate has a relative standard error of 25% to 50% and should be used with caution"


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
