age,gender,level,value
54,Woman,All conditions,142.3
54,Non-binary,No condition,0.0
54,Non-binary,All conditions,0.0
54,Total,No condition,4.8
54,Total,All conditions,301.7
55,Man,No condition,0.0
55,Man,All conditions,106.8
55,Woman,No condition,3.7
55,Woman,All conditions,128.0
55,Non-binary,No condition,0.0
55,Non-binary,All conditions,0.0
55,Total,No condition,9.4
55,Total,All conditions,237.7
56,Man,No condition,0.0
56,Man,All conditions,146.4
56,Woman,No condition,0.0
56,Woman,All conditions,156.1
56,Non-binary,No condition,0.0
56,Non-binary,All conditions,0.0
56,Total,No condition,0.0
56,Total,All conditions,302.9
57,Man,No condition,0.0
57,Man,All conditions,181.1
57,Woman,No condition,0.0
57,Woman,All conditions,147.2
57,Non-binary,No condition,0.0
57,Non-binary,All conditions,0.0
57,Total,No condition,0.0
57,Total,All conditions,336.3
58,Man,No condition,0.0
58,Man,All conditions,172.5
58,Woman,No condition,0.0
58,Woman,All conditions,105.6
58,Non-binary,No condition,0.0
58,Non-binary,All conditions,0.0
58,Total,No condition,0.0
58,Total,All conditions,284.9
59,Man,No condition,0.0
59,Man,All conditions,136.2
59,Woman,No condition,0.0
59,Woman,All conditions,161.8
59,Non-binary,No condition,0.0
59,Non-binary,All conditions,0.0
59,Total,No condition,0.0
59,Total,All conditions,290.0
60,Man,No condition,0.0
60,Man,All conditions,122.9
60,Woman,No condition,0.0
60,Woman,All conditions,156.4
60,Non-binary,No condition,0.0
60,Non-binary,All conditions,0.0
60,Total,No condition,0.0
60,Total,All conditions,273.5
61,Man,No condition,0.0
61,Man,All conditions,145.8
61,Woman,No condition,0.0
61,Woman,All conditions,172.6
61,Non-binary,No condition,0.0
61,Non-binary,All conditions,0.0
61,Total,No condition,0.0
61,Total,All conditions,317.1
62,Man,No condition,0.0
62,Man,All conditions,118.9
62,Woman,No condition,0.0
62,Woman,All conditions,150.0
62,Non-binary,No condition,0.0
62,Non-binary,All conditions,0.0
62,Total,No condition,4.5
62,Total,All conditions,265.8
63,Man,No condition,0.0
63,Man,All conditions,141.6
63,Woman,No condition,0.0
63,Woman,All conditions,134.3
63,Non-binary,No condition,0.0
63,Non-binary,All conditions,0.0
63,Total,No condition,0.0
63,Total,All conditions,275.8
64,Man,No condition,6.0
64,Man,All conditions,138.4
64,Woman,No condition,0.0
64,Woman,All conditions,135.6
64,Non-binary,No condition,0.0
64,Non-binary,All conditions,0.0
64,Total,No condition,6.0
64,Total,All conditions,276.2
65,Man,No condition,0.0
65,Man,All conditions,136.0
65,Woman,No condition,0.0
65,Woman,All conditions,116.0
65,Non-binary,No condition,0.0
65,Non-binary,All conditions,0.0
65,Total,No condition,0.0
65,Total,All conditions,250.6
66,Man,No condition,0.0
66,Man,All conditions,116.2
66,Woman,No condition,0.0
66,Woman,All conditions,156.4
66,Non-binary,No condition,0.0
66,Non-binary,All conditions,0.0
66,Total,No condition,0.0
66,Total,All conditions,273.8
67,Man,No condition,0.0
67,Man,All conditions,123.5
67,Woman,No condition,0.0
67,Woman,All conditions,139.4
67,Non-binary,No condition,0.0
67,Non-binary,All conditions,1.1
67,Total,No condition,1.1
67,Total,All conditions,263.6
68,Man,No condition,0.0
68,Man,All conditions,106.8
68,Woman,No condition,0.0
68,Woman,All conditions,92.1
68,Non-binary,No condition,0.0
68,Non-binary,All conditions,0.0
68,Total,No condition,0.0
68,Total,All conditions,205.2
69,Man,No condition,0.0
69,Man,All conditions,92.8
69,Woman,No condition,0.0
69,Woman,All conditions,133.3
69,Non-binary,No condition,0.0
69,Non-binary,All conditions,0.0
69,Total,No condition,0.0
69,Total,All conditions,227.2
70,Man,No condition,0.0
70,Man,All conditions,121.1
70,Woman,No condition,0.0
70,Woman,All conditions,126.0
70,Non-binary,No condition,0.0
70,Non-binary,All conditions,0.0
70,Total,No condition,0.0
70,Total,All conditions,243.8
71,Man,No condition,0.0
71,Man,All conditions,104.7
71,Woman,No condition,0.0
71,Woman,All conditions,126.4
71,Non-binary,No condition,0.0
71,Non-binary,All conditions,0.0
71,Total,No condition,0.0
71,Total,All conditions,225.2
72,Man,No condition,3.7
72,Man,All conditions,93.5
72,Woman,No condition,0.0
72,Woman,All conditions,96.9
72,Non-binary,No condition,0.0
72,Non-binary,All conditions,0.0
72,Total,No condition,3.7
72,Total,All conditions,189.6
73,Man,No condition,0.0
73,Man,All conditions,104.2
73,Woman,No condition,0.0
73,Woman,All conditions,104.3
73,Non-binary,No condition,0.0
73,Non-binary,All conditions,0.0
73,Total,No condition,0.0
73,Total,All conditions,215.7
74,Man,No condition,0.0
74,Man,All conditions,107.6
74,Woman,No condition,0.0
74,Woman,All conditions,95.0
74,Non-binary,No condition,0.0
74,Non-binary,All conditions,0.0
74,Total,No condition,0.0
74,Total,All conditions,199.4
75,Man,No condition,0.0
75,Man,All conditions,94.1
75,Woman,No condition,0.0
75,Woman,All conditions,102.1
75,Non-binary,No condition,0.0
75,Non-binary,All conditions,0.0
75,Total,No condition,0.0
75,Total,All conditions,196.2
76,Man,No condition,0.0
76,Man,All conditions,100.0
76,Woman,No condition,0.0
76,Woman,All conditions,89.6
76,Non-binary,No condition,0.0
76,Non-binary,All conditions,0.0
76,Total,No condition,0.0
76,Total,All conditions,181.2
77,Man,No condition,0.0
77,Man,All conditions,77.1
77,Woman,No condition,0.0
77,Woman,All conditions,93.6
77,Non-binary,No condition,0.0
77,Non-binary,All conditions,0.0
77,Total,No condition,0.0
77,Total,All conditions,171.9
78,Man,No condition,0.0
