age,gender,level,value
80,Total,Total,121.8
81,Man,Man,67.4
81,Woman,Woman,61.0
81,Non-binary,Non-binary,0.0
81,Total,Total,135.7
82,Man,Man,51.6
82,Woman,Woman,35.1
82,Non-binary,Non-binary,0.0
82,Total,Total,86.2
83,Man,Man,44.8
83,Woman,Woman,49.5
83,Non-binary,Non-binary,0.0
83,Total,Total,89.9
84,Man,Man,28.1
84,Woman,Woman,34.7
84,Non-binary,Non-binary,0.0
84,Total,Total,62.1
85,Man,Man,25.7
85,Woman,Woman,47.1
85,Non-binary,Non-binary,0.0
85,Total,Total,76.0
86,Man,Man,19.7
86,Woman,Woman,38.0
86,Non-binary,Non-binary,0.0
86,Total,Total,57.7
87,Man,Man,25.8
87,Woman,Woman,18.0
87,Non-binary,Non-binary,0.0
87,Total,Total,42.5
88,Man,Man,15.2
88,Woman,Woman,27.2
88,Non-binary,Non-binary,0.0
88,Total,Total,38.9
89,Man,Man,14.1
89,Woman,Woman,20.8
89,Non-binary,Non-binary,0.0
89,Total,Total,36.1
90,Man,Man,2.7
90,Woman,Woman,10.8
90,Non-binary,Non-binary,0.0
90,Total,Total,13.8
91,Man,Man,9.2
91,Woman,Woman,12.5
91,Non-binary,Non-binary,0.0
91,Total,Total,27.6
92,Man,Man,3.5
92,Woman,Woman,16.5
92,Non-binary,Non-binary,0.0
92,Total,Total,18.9
93,Man,Man,4.6
93,Woman,Woman,2.8
93,Non-binary,Non-binary,0.0
93,Total,Total,5.2
94,Man,Man,0.0
94,Woman,Woman,12.0
94,Non-binary,Non-binary,0.0
94,Total,Total,17.8
95,Man,Man,0.0
95,Woman,Woman,5.9
95,Non-binary,Non-binary,0.0
95,Total,Total,3.6
96,Man,Man,2.3
96,Woman,Woman,6.4
96,Non-binary,Non-binary,0.0
96,Total,Total,9.8
97,Man,Man,0.0
97,Woman,Woman,7.7
97,Non-binary,Non-binary,0.0
97,Total,Total,8.6
98,Man,Man,0.0
98,Woman,Woman,8.1
98,Non-binary,Non-binary,0.0
98,Total,Total,9.5
99,Man,Man,0.0
99,Woman,Woman,2.0
99,Non-binary,Non-binary,0.0
99,Total,Total,2.9
