age,gender,level,value
29,Man,Current daily smoker,15.9
29,Man,Current smoker - other,3.3
29,Man,Current non-smoker,167.3
29,Woman,Current daily smoker,25.1
29,Woman,Current smoker - other,0.0
29,Woman,Current non-smoker,143.7
29,Non-binary,Current daily smoker,0.0
29,Non-binary,Current smoker - other,0.0
29,Non-binary,Current non-smoker,0.0
29,Total,Current daily smoker,43.1
29,Total,Current smoker - other,3.3
29,Total,Current non-smoker,311.8
30,Man,Current daily smoker,31.7
30,Man,Current smoker - other,8.2
30,Man,Current non-smoker,193.2
30,Woman,Current daily smoker,17.3
30,Woman,Current smoker - other,0.9
30,Woman,Current non-smoker,139.0
30,Non-binary,Current daily smoker,0.0
30,Non-binary,Current smoker - other,0.0
30,Non-binary,Current non-smoker,1.9
30,Total,Current daily smoker,53.1
30,Total,Current smoker - other,11.3
30,Total,Current non-smoker,326.1
31,Man,Current daily smoker,28.1
31,Man,Current smoker - other,6.9
31,Man,Current non-smoker,127.7
31,Woman,Current daily smoker,11.7
31,Woman,Current smoker - other,0.0
31,Woman,Current non-smoker,217.3
31,Non-binary,Current daily smoker,0.0
31,Non-binary,Current smoker - other,0.0
31,Non-binary,Current non-smoker,0.0
31,Total,Current daily smoker,44.1
31,Total,Current smoker - other,6.9
31,Total,Current non-smoker,356.5
32,Man,Current daily smoker,16.7
32,Man,Current smoker - other,0.0
32,Man,Current non-smoker,159.2
32,Woman,Current daily smoker,23.7
32,Woman,Current smoker - other,11.9
32,Woman,Current non-smoker,181.4
32,Non-binary,Current daily smoker,0.0
32,Non-binary,Current smoker - other,0.0
32,Non-binary,Current non-smoker,0.0
32,Total,Current daily smoker,37.7
32,Total,Current smoker - other,14.0
32,Total,Current non-smoker,344.1
33,Man,Current daily smoker,23.1
33,Man,Current smoker - other,2.7
33,Man,Current non-smoker,152.6
33,Woman,Current daily smoker,14.0
33,Woman,Current smoker - other,0.0
33,Woman,Current non-smoker,181.5
33,Non-binary,Current daily smoker,0.0
33,Non-binary,Current smoker - other,0.0
33,Non-binary,Current non-smoker,0.0
33,Total,Current daily smoker,38.7
33,Total,Current smoker - other,8.6
33,Total,Current non-smoker,329.0
34,Man,Current daily smoker,13.0
34,Man,Current smoker - other,13.1
34,Man,Current non-smoker,129.2
34,Woman,Current daily smoker,24.1
34,Woman,Current smoker - other,0.0
34,Woman,Current non-smoker,199.8
34,Non-binary,Current daily smoker,0.0
34,Non-binary,Current smoker - other,0.0
34,Non-binary,Current non-smoker,0.0
34,Total,Current daily smoker,30.8
34,Total,Current smoker - other,13.1
34,Total,Current non-smoker,323.7
35,Man,Current daily smoker,9.0
35,Man,Current smoker - other,5.3
35,Man,Current non-smoker,156.9
35,Woman,Current daily smoker,18.6
35,Woman,Current smoker - other,3.7
