age,gender,level,value
25,Non-binary,Met 2014 physical activity guidelines,0.0
25,Non-binary,Did not meet 2014 physical activity guidelines,0.0
25,Total,Met 2014 physical activity guidelines,68.7
25,Total,Did not meet 2014 physical activity guidelines,210.4
26,Man,Met 2014 physical activity guidelines,32.8
26,Man,Did not meet 2014 physical activity guidelines,104.0
26,Woman,Met 2014 physical activity guidelines,57.0
26,Woman,Did not meet 2014 physical activity guidelines,75.1
26,Non-binary,Met 2014 physical activity guidelines,0.0
26,Non-binary,Did not meet 2014 physical activity guidelines,0.0
26,Total,Met 2014 physical activity guidelines,95.6
26,Total,Did not meet 2014 physical activity guidelines,173.8
27,Man,Met 2014 physical activity guidelines,49.2
27,Man,Did not meet 2014 physical activity guidelines,102.6
27,Woman,Met 2014 physical activity guidelines,39.9
27,Woman,Did not meet 2014 physical activity guidelines,137.1
27,Non-binary,Met 2014 physical activity guidelines,0.0
27,Non-binary,Did not meet 2014 physical activity guidelines,0.0
27,Total,Met 2014 physical activity guidelines,82.0
27,Total,Did not meet 2014 physical activity guidelines,252.1
28,Man,Met 2014 physical activity guidelines,64.0
28,Man,Did not meet 2014 physical activity guidelines,112.7
28,Woman,Met 2014 physical activity guidelines,56.6
28,Woman,Did not meet 2014 physical activity guidelines,108.4
28,Non-binary,Met 2014 physical activity guidelines,0.0
28,Non-binary,Did not meet 2014 physical activity guidelines,0.0
28,Total,Met 2014 physical activity guidelines,139.0
28,Total,Did not meet 2014 physical activity guidelines,211.9
29,Man,Met 2014 physical activity guidelines,65.5
29,Man,Did not meet 2014 physical activity guidelines,140.5
29,Woman,Met 2014 physical activity guidelines,17.9
29,Woman,Did not meet 2014 physical activity guidelines,138.6
29,Non-binary,Met 2014 physical activity guidelines,0.0
29,Non-binary,Did not meet 2014 physical activity guidelines,0.0
29,Total,Met 2014 physical activity guidelines,92.0
29,Total,Did not meet 2014 physical activity guidelines,275.8
30,Man,Met 2014 physical activity guidelines,54.5
30,Man,Did not meet 2014 physical activity guidelines,179.1
30,Woman,Met 2014 physical activity guidelines,33.2
30,Woman,Did not meet 2014 physical activity guidelines,123.9
30,Non-binary,Met 2014 physical activity guidelines,0.0
30,Non-binary,Did not meet 2014 physical activity guidelines,1.9
30,Total,Met 2014 physical activity guidelines,92.7
30,Total,Did not meet 2014 physical activity guidelines,294.3
31,Man,Met 2014 physical activity guidelines,44.3
31,Man,Did not meet 2014 physical activity guidelines,120.0
31,Woman,Met 2014 physical activity guidelines,56.3
31,Woman,Did not meet 2014 physical activity guidelines,176.8
31,Non-binary,Met 2014 physical activity guidelines,0.0
31,Non-binary,Did not meet 2014 physical activity guidelines,0.0
31,Total,Met 2014 physical activity guidelines,109.4
31,Total,Did not meet 2014 physical activity guidelines,293.2
32,Man,Met 2014 physical activity guidelines,47.0
32,Man,Did not meet 2014 physical activity guidelines,131.7
32,Woman,Met 2014 physical activity guidelines,58.2
32,Woman,Did not meet 2014 physical activity guidelines,167.1
32,Non-binary,Met 2014 physical activity guidelines,0.0
32,Non-binary,Did not meet 2014 physical activity guidelines,0.0
32,Total,Met 2014 physical activity guidelines,99.8
32,Total,Did not meet 2014 physical activity guidelines,286.8
33,Man,Met 2014 physical activity guidelines,52.2
33,Man,Did not meet 2014 physical activity guidelines,124.5
33,Woman,Met 2014 physical activity guidelines,30.5
33,Woman,Did not meet 2014 physical activity guidelines,168.4
33,Non-binary,Met 2014 physical activity guidelines,0.0
33,Non-binary,Did not meet 2014 physical activity guidelines,0.0
33,Total,Met 2014 physical activity guidelines,84.7
33,Total,Did not meet 2014 physical activity guidelines,298.3
34,Man,Met 2014 physical activity guidelines,52.4
34,Man,Did not meet 2014 physical activity guidelines,102.2
34,Woman,Met 2014 physical activity guidelines,48.9
34,Woman,Did not meet 2014 physical activity guidelines,160.7
34,Non-binary,Met 2014 physical activity guidelines,0.0
34,Non-binary,Did not meet 2014 physical activity guidelines,0.0
34,Total,Met 2014 physical activity guidelines,112.8
34,Total,Did not meet 2014 physical activity guidelines,253.5
35,Man,Met 2014 physical activity guidelines,45.1
35,Man,Did not meet 2014 physical activity guidelines,121.3
35,Woman,Met 2014 physical activity guidelines,43.1
35,Woman,Did not meet 2014 physical activity guidelines,150.0
35,Non-binary,Met 2014 physical activity guidelines,0.0
35,Non-binary,Did not meet 2014 physical activity guidelines,0.0
35,Total,Met 2014 physical activity guidelines,91.9
35,Total,Did not meet 2014 physical activity guidelines,266.6
36,Man,Met 2014 physical activity guidelines,29.3
36,Man,Did not meet 2014 physical activity guidelines,91.3
36,Woman,Met 2014 physical activity guidelines,28.3
36,Woman,Did not meet 2014 physical activity guidelines,133.4
36,Non-binary,Met 2014 physical activity guidelines,0.0
36,Non-binary,Did not meet 2014 physical activity guidelines,0.0
36,Total,Met 2014 physical activity guidelines,54.7
36,Total,Did not meet 2014 physical activity guidelines,223.8
37,Man,Met 2014 physical activity guidelines,42.0
37,Man,Did not meet 2014 physical activity guidelines,117.4
37,Woman,Met 2014 physical activity guidelines,41.8
37,Woman,Did not meet 2014 physical activity guidelines,124.7
37,Non-binary,Met 2014 physical activity guidelines,0.0
37,Non-binary,Did not meet 2014 physical activity guidelines,3.1
37,Total,Met 2014 physical activity guidelines,90.6
